qid,wikidata_name,display_name,country,club_qid,alias
Q286511,크리스티앙 카랑뵈,크리스티앙 카랑뵈,프랑스,Q192071,Christian Lali Kake Karembeu
Q28691631,정충근,정충근,대한민국,Q192071,
Q2880296,바코 투레,바코 투레,말리,Q192071,Bako Toure
Q288053,에리크 카리에르,에리크 카리에르,프랑스,Q192071,에리크 제라르 카리에르
Q288321,에리크 페쿠,에리크 페쿠,프랑스,Q192071,"Eric Pecout, Eric Pécout, Éric Pecout"
Q2885015,Denis Petrić,Denis Petrić,세르비아,Q192071,
Q2885015,Denis Petrić,Denis Petrić,슬로베니아,Q192071,
Q2885015,Denis Petrić,Denis Petrić,프랑스,Q192071,
Q2886037,Barthélémy Gallard,Barthélémy Gallard,프랑스,Q192071,Barthelemy Gallard
Q2893774,Khassimirou Diop,Khassimirou Diop,세네갈,Q192071,
Q2897944,Bernard Gardon,Bernard Gardon,프랑스,Q192071,
Q2898272,Bernard Maligorne,Bernard Maligorne,프랑스,Q192071,
Q2898707,Bernard Vendrely,Bernard Vendrely,프랑스,Q192071,
Q2910934,Boris Diecket,Boris Diecket,코트디부아르,Q192071,
Q2926993,Bruno Steck,Bruno Steck,프랑스,Q192071,
Q2958910,샤를 드비노,샤를 드비노,프랑스,Q192071,장샤를 드비노
Q2965056,크리스티앙 베카멩가,크리스티앙 베카멩가,카메룬,Q192071,
Q2965728,크리스티앙 드보플뢰리,크리스티앙 드보플뢰리,프랑스,Q192071,크리스티앙 마리 기 막심 베르제 드보플뢰리
Q2966343,크리스토프 르루,크리스토프 르루,프랑스,Q192071,
Q2966371,Christophe Maraninchi,Christophe Maraninchi,프랑스,Q192071,
Q2966445,크리스토프 피뇰,크리스토프 피뇰,프랑스,Q192071,
Q2966471,크리스토프 로베르,크리스토프 로베르,프랑스,Q192071,
Q2976904,Claude Arribas,Claude Arribas,프랑스,Q192071,
Q2977208,Claude Corbel,Claude Corbel,프랑스,Q192071,
Q2978070,클로드 로뱅,클로드 로뱅,프랑스,Q192071,클로드 프랑스 로뱅
Q30118044,Raymond Wozniezko,Raymond Wozniezko,프랑스,Q192071,
Q3012859,Damien Tixier,Damien Tixier,프랑스,Q192071,
Q3013826,다니엘 카르팡티에,다니엘 카르팡티에,프랑스,Q192071,
Q3014009,Daniel Eon,Daniel Eon,프랑스,Q192071,
Q3017382,David Andréani,David Andréani,프랑스,Q192071,David Andreani
Q3017747,David de Freitas,David de Freitas,프랑스,Q192071,
Q3017936,David Garcion,David Garcion,프랑스,Q192071,
Q3018361,다비드 마로,다비드 마로,프랑스,Q192071,
Q3022941,Denis Stinat,Denis Stinat,프랑스,Q192071,
Q3027383,디에고 부스토스,디에고 부스토스,아르헨티나,Q192071,디에고 다니엘 부스토스
Q3035277,도미니크 르클레르크,도미니크 르클레르크,프랑스,Q192071,
Q3043360,Délis Ahou,Délis Ahou,니제르,Q192071,Delis Ahou
Q3043360,Délis Ahou,Délis Ahou,프랑스,Q192071,Delis Ahou
Q3047894,에드몽 르메트르,에드몽 르메트르,프랑스,Q192071,에드몽 조제프 르메트르
Q3051668,빅토르 라모스,빅토르 라모스,아르헨티나,Q192071,빅토르 로헬리오 라모스
Q3054646,마리우 실바,마리우 실바,포르투갈,Q192071,마리우 페르난두 마갈량이스 다실바
Q3056820,에르네스트 아쿠아사가,에르네스트 아쿠아사가,가봉,Q192071,
Q3056847,Ernest Bodini,Ernest Bodini,프랑스,Q192071,Bodini
Q3059677,외젠 아보트레,외젠 아보트레,프랑스,Q192071,외젠 피에르 아보트레
Q3063571,파비앵 드보테,파비앵 드보테,프랑스,Q192071,Fabien Debotte
Q3063932,파브리스 피코,파브리스 피코,프랑스,Q192071,
Q3063936,파브리스 풀랭,파브리스 풀랭,프랑스,Q192071,
Q3074782,Fodil Hadjadj,Fodil Hadjadj,알제리,Q192071,
Q3081569,프랑시스 마니,프랑시스 마니,프랑스,Q192071,프랑시스 뤼시앵 마니
Q3082206,Franck Maufay,Franck Maufay,프랑스,Q192071,
Q3082252,프랑크 르누,프랑크 르누,프랑스,Q192071,
Q3084591,François Fassone,François Fassone,프랑스,Q192071,
Q3086013,세르주 르디제,세르주 르디제,프랑스,Q192071,
Q3087952,스테판 지아니,스테판 지아니,프랑스,Q192071,Stephane Ziani
Q3088606,기욤 노르베르,기욤 노르베르,프랑스,Q192071,
Q309778,마리오 예페스,마리오 예페스,콜롬비아,Q192071,Mario Alberto Yepes Diaz
Q3102354,조르주 부,조르주 부,프랑스,Q192071,조르주 로베르 부
Q3102682,Georges Eo,Georges Eo,프랑스,Q192071,
Q3102796,Georges Grabowski,Georges Grabowski,프랑스,Q192071,
Q3103163,조르주 마르티네즈,조르주 마르티네즈,프랑스,Q192071,
Q3103594,Georges Van Straelen,Georges Van Straelen,프랑스,Q192071,
Q3106475,Gilles Rampillon,Gilles Rampillon,프랑스,Q192071,
Q311155,로리크 차나,로리크 차나,스위스,Q192071,"로릭 차나, 로릭 카나"
Q311155,로리크 차나,로리크 차나,알바니아,Q192071,"로릭 차나, 로릭 카나"
Q311155,로리크 차나,로리크 차나,프랑스,Q192071,"로릭 차나, 로릭 카나"
Q3118871,Guelso Zaetta,Guelso Zaetta,프랑스,Q192071,
Q3123807,Gérard Buscher,Gérard Buscher,프랑스,Q192071,Gerard Buscher
Q3127497,Harlington Shereni,Harlington Shereni,짐바브웨,Q192071,
Q3128114,Hassan Ahamada,Hassan Ahamada,프랑스,Q192071,
Q312920,마레크 헤인스,마레크 헤인스,체코,Q192071,
Q312920,마레크 헤인스,마레크 헤인스,체코슬로바키아,Q192071,
Q3130558,Henri Aniol,Henri Aniol,프랑스,Q192071,
Q313774,호르헤 루이스 부르차가,호르헤 루이스 부르차가,아르헨티나,Q192071,Jorge Luis Burruchaga
Q314371,에리크 젬바젬바,에리크 젬바젬바,카메룬,Q192071,"Eric Daniel Djemba-Djemba, Eric Djemba-Djemba"
Q314371,에리크 젬바젬바,에리크 젬바젬바,프랑스,Q192071,"Eric Daniel Djemba-Djemba, Eric Djemba-Djemba"
Q31442,에밀리아노 살라,에밀리아노 살라,아르헨티나,Q192071,Emiliano Raúl Sala
Q31442,에밀리아노 살라,에밀리아노 살라,이탈리아,Q192071,Emiliano Raúl Sala
Q3155420,이스마엘 케이타,이스마엘 케이타,말리,Q192071,
Q3155676,이사 시소코,이사 시소코,세네갈,Q192071,
Q3155676,이사 시소코,이사 시소코,프랑스,Q192071,
Q3163159,Javier Mazzoni,Javier Mazzoni,아르헨티나,Q192071,Javier Gustavo Mazzoni
Q3164841,Jean-Claude Bielitzki,Jean-Claude Bielitzki,프랑스,Q192071,
Q3165119,장클로드 밀라니,장클로드 밀라니,스위스,Q192071,
Q3165153,Jean-Claude Osman,Jean-Claude Osman,프랑스,Q192071,
